2026-08-19T12:04:47.8405262+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T12:04:47.8417422+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T12:04:47.9157731+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T12:04:47.9175727+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T12:04:47.9909979+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T12:04:47.992471+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T12:04:48.073688+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T12:04:48.0750931+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T12:06:30.4180332+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T12:06:30.4193021+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T12:06:30.517672+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T12:06:30.5189456+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T12:06:30.5933302+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T12:06:30.6729888+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T12:06:30.6742116+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T12:56:21.8542351+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T12:56:21.8559094+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T12:56:21.927643+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T12:56:21.9292261+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T12:56:22.0048715+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T12:56:22.0063666+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T12:56:22.0798868+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T12:56:22.0821098+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T13:09:52.0848649+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T13:09:52.0890593+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T13:09:52.193515+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T13:09:52.1949388+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T13:09:52.2884407+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T13:09:52.2902122+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T13:09:52.3816931+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T13:09:52.3833903+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T13:18:56.8738612+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T13:18:56.8767698+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T13:18:56.9642511+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T13:18:56.9654617+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T13:18:57.0579006+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T13:18:57.0597077+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
2026-08-19T13:18:57.1580882+09:00 DEBUG ThreadId(01) longbridge::region: Region check: geotest inconclusive, keeping global
2026-08-19T13:18:57.1596984+09:00  INFO ThreadId(01) longbridge::openapi::context: No API key env vars found, using OAuth authentication
